,MSE,RMSE,MAE,R2,CV_RMSE_mean,CV_RMSE_std,train_time
Ridge,100705300.23530377,10035.20304903213,6959.180506214913,0.481361424789829,10125.203351201913,128.75027798624754,0.4638550281524658
Decision Tree,39592290.83617342,6292.240525931397,3108.9265615946583,0.7960972336053753,6519.89385725307,81.02032856398273,6.390829801559448
Random Forest,24190895.613053527,4918.424098535376,2249.3764357197797,0.8754153792849351,5056.1322036449765,81.83159833573897,476.61767387390137
Neural Network,50524638.76399768,7108.068567761406,4427.225360069652,0.7397949601427025,7413.348073388664,136.1324355620403,331.8269522190094
